,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2016-11-09,42.0407442131,45.27672938,41.5188111217,44.4938297429,6479500.0,44.2067682948,37.1787485265,2.98030465451,1.82676347948,9.37179269956,41.2264636403,47.1870729493,39.730637,491138.682674,2.86690370653,27.2183400193
2016-11-08,40.6315286203,42.614874489,39.9008222479,42.3017146152,5319400.0,44.1415267419,36.9954017803,2.99375228875,1.51360567216,9.31171943717,41.1477744532,47.1352790307,28.2528010029,404307.166586,2.75878899711,27.5057224601
2016-11-07,41.0490682055,42.2495142552,40.8402949795,41.1012615121,7291000.0,44.0874693965,36.8624032307,3.0414884603,3.13159378792,9.06862218219,41.0459809362,47.1289578568,25.1937809596,477119.590036,2.74760471326,29.9045802175
2016-11-04,38.5959897242,40.73591554,36.6648371585,39.7442426009,11355300.0,43.9756267612,36.7561595882,3.20836533625,7.46364591717,8.90538599707,40.767261425,47.1839920975,30.5755487885,327811.798229,2.74387700954,34.0751378324
2016-11-03,38.2306338817,39.9530131198,37.9696673308,38.9613402253,6098300.0,43.7090679785,36.6812656422,3.8239355128,6.0022288477,8.73856813505,39.8851324657,47.5330034913,24.8227021029,-296091.782322,2.56492850832,38.1190981117
2016-11-02,38.8569524649,39.953011959,38.1262461354,38.3350193724,6451000.0,43.4947026625,36.6241173695,4.24500147965,6.9417075079,8.67723298022,39.2497011828,47.7397041421,19.7278883698,-492843.287231,2.60593752908,43.7579103609
2016-11-01,42.3539088641,43.0846152475,39.2223100774,40.8403027839,8540800.0,43.2467845372,36.5812349591,4.73224309299,7.15048810985,8.57637366161,38.5145414442,47.9790276302,30.1115141774,-158122.129398,2.60593720382,50.5856711705
2016-10-31,42.3017097336,42.9280294331,40.6837171764,41.3100368758,9717800.0,42.9914099618,36.4744847804,5.04923841831,9.70795488581,8.31049354712,37.9421715435,48.0406483802,29.454528733,-182277.116773,2.45681344991,56.1785602992
2016-10-28,42.3017124277,43.2411920171,41.414426149,41.5710060804,10853600.0,42.6446972874,36.3532854777,5.48359079952,11.8478814109,7.98685361062,37.1611064878,48.1282880869,32.4999910391,-317855.123097,2.4419010816,62.6797550004
2016-10-27,44.128477816,44.7547975379,40.9446858975,42.0407454105,7081100.0,42.2215586655,36.2225074225,6.00211279907,12.4742022637,7.66545040334,36.2194458665,48.2236714646,40.7894558741,-702865.946674,2.50155033255,68.9576607781
2016-10-26,44.232866195,46.685951838,42.6148735366,43.2411932754,8895200.0,41.7760514418,36.0766778723,6.46140692325,13.8834254923,7.32550562451,35.3146445186,48.2374583651,42.4657538955,-695405.712394,2.34124231455,74.6655775739
2016-10-25,46.8947253657,48.2517514721,45.7986658186,45.8508591305,6342500.0,41.2802148171,35.8971049396,6.86490609078,16.649667632,6.91241997438,34.4153087263,48.1451209079,55.1331004517,-194535.247885,2.22194330919,80.854821465
2016-10-24,47.8342035382,47.8342035382,45.5898911794,47.2600771208,4906100.0,40.6855838303,35.6476219347,7.16870479739,19.833460499,6.45005987185,33.5168790329,47.8542886276,68.8356410393,-53613.8421666,2.34497026765,85.454136611
2016-10-21,47.1556910282,47.5732375174,45.7986649402,47.3122709617,6290200.0,39.9772459553,35.3565648965,7.46861662756,19.5202974535,6.13199616011,32.5086293277,47.4458625828,61.4678938503,-141599.908789,2.40834785666,87.3246147091
2016-10-20,47.0513028912,48.6692954982,46.4249831718,47.67762261,6187500.0,39.2800924748,35.0569045455,7.66699505661,15.1882505625,5.80819680644,31.6130974182,46.9470875314,64.3712627031,-5802.33750746,2.45681318946,89.3599111224
2016-10-19,49.1912308185,50.2872903613,47.7298180941,48.4083311447,6682700.0,38.7376549547,34.7405761927,7.58774023582,15.7101889718,5.57779105462,31.1499147189,46.3253951905,70.5056319942,470623.313243,2.50527841043,91.0143537208
2016-10-18,46.9991106311,47.8342036026,46.1118243488,47.7820102918,7239900.0,38.1765767772,34.3980046855,7.42526154522,11.9000752518,5.2763571308,30.7513152319,45.6018383224,73.6181069888,302546.036846,2.60220901882,91.8906165378
2016-10-17,46.5815659796,46.9469191647,45.3811198004,45.3811198004,3763500.0,37.7515740896,34.062545132,7.19200998829,11.264006031,4.97442312949,30.5595641013,44.9435840779,77.2234456078,-203734.82106,2.83707905803,92.5039363769
